"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","50","311-1776-1-ND","CC0603JRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","","50","0","0.03100","1.55"
"2","50","1276-1854-1-ND","CL32A106KAULNNE","CAP CER 10UF 25V X5R 1210","","50","0","0.12800","6.40"
"3","10","929984-01-36-ND","929984-01-36","CONN RCPT 36POS 0.1 TIN-LEAD PCB","10","10","0","4.13000","41.30"
"4","40","S5600-ND","NPTC081KFXC-RC","CONN HDR 8POS 0.1 TIN SMD","","40","0","0.86500","34.60"
"5","3","612-MTMM-140-07-F-D-260-ND","MTMM-140-07-F-D-260","CONN HDR 2MM PCB VERT","","3","0","11.47000","34.41"
"6","4","17-2-2314844-0-ND","2-2314844-0","CONN RCPT 20 POS 0.079"" GOLD SMD","","4","0","1.68000","6.72"
"7","4","3-1470209-3-ND","3-1470209-3","CONN RCPT 20POS 0.079 GOLD PCB","","4","0","0.97000","3.88"
"8","6","SX1509BIULCT-ND","SX1509BIULTRT","IC XPNDR 400KHZ I2C 28QFN","","6","0","3.02000","18.12"
"9","20","A129677CT-ND","CRGCQ0603F120R","CRGCQ 0603 120R 1%","","20","0","0.02700","0.54"
"10","30","A100080CT-ND","1775469-2","CONN HEADER SMD R/A 2POS 2MM","","30","0","0.66900","20.07"
"11","55","S310FACT-ND","S310FA","DIODE SCHOTTKY 100V 3A SOD123FA","","55","0","0.45600","25.08"
"12","100","541-3949-1-ND","CRCW06031K00FKEAC","RES SMD 1K OHM 1% 1/10W 0603","","100","0","0.01200","1.20"
"13","100","A106047CT-ND","CRG0603F100R","RES SMD 100 OHM 1% 1/10W 0603","","100","0","0.01100","1.10"
"14","100","1276-1019-1-ND","CL10B105KO8NNNC","CAP CER 1UF 16V X7R 0603","","100","0","0.01600","1.60"
"15","10","576-2587-1-ND","MIC2005-0.8YM6-TR","IC PWR SWITCH P-CHAN 1:1 SOT23-6","","10","0","1.04000","10.40"
"16","40","EG1866-ND","TL1105DF250Q","SWITCH TACTILE SPST-NO 0.05A 12V","","40","0","0.18200","7.28"
"17","40","P124212CT-ND","EVP-ASKC1A","SWITCH LIGHT TOUCH 3.0N NO SMD","","40","0","0.46920","18.77"
"18","5","1830-1090-1-ND","IN-S126AT5UW","LED WHITE CLEAR 1206 SMD","","5","0","0.32000","1.60"
"19","5","732-4989-1-ND","150120BS75000","LED BLUE CLEAR 1206 SMD","","5","0","0.20000","1.00"
"20","6","1727-5163-1-ND","PESD1FLEX,215","TVS DIODE 24VWM 70VC TO236AB","","6","0","0.31000","1.86"
"21","40","455-2249-ND","B4B-XH-A(LF)(SN)","CONN HEADER VERT 4POS 2.5MM","","40","0","0.16100","6.44"
"22","100","A106048CT-ND","CRG0603F10K","RES SMD 10K OHM 1% 1/10W 0603","","100","0","0.01100","1.10"
"23","40","455-1806-1-ND","SM06B-SRSS-TB(LF)(SN)","CONN HEADER SMD R/A 6POS 1MM","MASTER_V2","40","0","0.57700","23.08"
"24","10","296-53378-1-ND","DRV5032DUDBZT","MAGNETIC SWITCH UNIPOLAR SOT23-3","","10","0","0.96700","9.67"
"25","6","296-8404-1-ND","SN74HCT245PWR","IC TXRX NON-INVERT 5.5V 20TSSOP","","6","0","0.46000","2.76"
"26","50","10-EEE-FPE101XALCT-ND","EEE-FPE101XAL","CAP ALUM 100UF 20% 25V SMD","","50","0","0.41200","20.60"
"27","6","MCP2562FDT-E/SNCT-ND","MCP2562FDT-E/SN","IC TRANSCEIVER 1/1 8SOIC","","6","0","1.17000","7.02"
"28","10","YC164J-100KCT-ND","YC164-JR-07100KL","RES ARRAY 4 RES 100K OHM 1206","ARRAY CHIP RESISTOR","10","0","0.07500","0.75"
"29","5","CT21910MST-ND","219-10MST","SWITCH SLIDE DIP SPST 100MA 20V","","5","0","0.95000","4.75"
"30","35","455-2875-1-ND","BM06B-SRSS-TBT(LF)(SN)","CONN HEADER SMD 6POS 1MM","","35","0","0.71300","24.96"
"31","10","609-10129383-910002ALFCT-ND","10129383-910002ALF","CONN HEADER SMD 10POS 2.54MM","","10","0","0.35900","3.59"